BAST	fHbp_peptide	NHBA_peptide	NadA_peptide	PorA_VR1	PorA_VR2	MenDeVAR_Bexsero_reactivity	MenDeVAR_Trumenba_reactivity
3626	1320	18	0	22	14	insufficient data	insufficient data
3627	16	101	0	22	9	insufficient data	cross-reactive
3628	22	29	145	5	2	insufficient data	insufficient data
3629	31	2	0	5	2	exact match	insufficient data
3630	22	29	1	5	2	insufficient data	insufficient data
3631	19	17	0	18-1	9	none	cross-reactive
3632	12	12	0	5-1	2-50	cross-reactive	insufficient data
3633	83	24	0	5-1	10-4	insufficient data	insufficient data
3634	622	20	0	22	14	insufficient data	insufficient data
3635	22	29	6	7-2	4	exact match	insufficient data
3636	94	20	0	5-1	10-22	insufficient data	insufficient data
3637	16	906	0	18-1	3	insufficient data	cross-reactive
3638	16	18	0	5	2	none	cross-reactive
3639	19	17	0	17	16-28	none	cross-reactive
3640	14	2	0	22	9	exact match	cross-reactive
3641	321	243	21	5-2	10-85	cross-reactive	insufficient data
3642	8	29	6	5	2	cross-reactive	insufficient data
3643	13	266	0	5-1	10-8	insufficient data	cross-reactive
3644	101	511	198	12-14	13-20	insufficient data	insufficient data
3645	111	9	0	22-11	15-25	insufficient data	insufficient data
3646	14	24	0	0	0	cross-reactive	cross-reactive
3647	16	1070	0	22	9	insufficient data	cross-reactive
3648	499	316	100	7	16-26	insufficient data	insufficient data
3649	1	120	25	19	15	exact match	cross-reactive
3650	188	18	0	22	14	insufficient data	insufficient data
3651	25	7	0	7	10-4	insufficient data	cross-reactive
3652	14	30	21	7-31	1	cross-reactive	cross-reactive
3653	25	6	0	21	16-31	none	cross-reactive
3654	906	21	0	17-1	23-6	insufficient data	insufficient data
3655	780	20	0	5	2	insufficient data	insufficient data
3656	16	24	0	0	0	insufficient data	cross-reactive
3657	15	21	0	18	30	cross-reactive	cross-reactive
3658	22	29	127	0	0	insufficient data	insufficient data
3659	25	24	0	0	0	insufficient data	cross-reactive
3660	25	1386	0	21	16	insufficient data	cross-reactive
3661	31	29	6	5	2	cross-reactive	insufficient data
3662	47	118	0	19-2	4	exact match	cross-reactive
3663	110	3	1	7	16-26	cross-reactive	insufficient data
3664	437	20	0	19	15	insufficient data	insufficient data
3665	104	649	0	18	25	insufficient data	insufficient data
3666	296	81	0	7	16	insufficient data	insufficient data
3667	19	2	0	21	16-36	exact match	cross-reactive
3668	104	21	0	22	9	insufficient data	insufficient data
3669	37	54	0	22	14-6	cross-reactive	insufficient data
3670	390	20	0	22	13	insufficient data	insufficient data
3671	296	24	0	21	16-36	insufficient data	insufficient data
3672	236	8	0	5-2	10-2	insufficient data	insufficient data
3673	879	2	0	18-1	3-8	exact match	insufficient data
3674	1	20	0	19	15	exact match	cross-reactive
3675	110	118	0	19-2	13-7	cross-reactive	insufficient data
3676	2	21	0	18	25-1	insufficient data	insufficient data
3677	47	92	0	19-2	13-1	insufficient data	cross-reactive
3678	296	81	0	22	14	insufficient data	insufficient data
3679	224	3	1	7	16-26	insufficient data	insufficient data
3680	420	18	0	22	14	insufficient data	insufficient data
3681	59	118	0	19-2	13-1	insufficient data	insufficient data
3682	1	118	0	19-2	13-2	exact match	cross-reactive
3683	390	8	0	22	14	insufficient data	insufficient data
3684	165	111	0	7-20	4	exact match	insufficient data
3685	37	6	0	5-3	10-2	cross-reactive	insufficient data
3686	224	3	100	7	16-53	insufficient data	insufficient data
3687	346	24	0	21	16-36	insufficient data	insufficient data
3688	510	29	1	5-2	10-2	insufficient data	cross-reactive
3689	346	24	1	21	16-36	insufficient data	insufficient data
3690	226	18	0	22	14	insufficient data	insufficient data
3691	29	3	100	7	16-26	insufficient data	insufficient data
3692	245	24	0	7	16-36	insufficient data	insufficient data
3693	13	20	0	22	26	insufficient data	cross-reactive
3694	189	20	0	7-2	4	exact match	insufficient data
3695	1	3	1	20	9	exact match	cross-reactive
3696	102	130	1	7-2	13-1	insufficient data	insufficient data
3697	224	3	100	7-2	16-53	insufficient data	insufficient data
3698	224	3	100	7-2	16-167	insufficient data	insufficient data
3699	4	248	0	18	25-37	cross-reactive	cross-reactive
3700	15	291	0	19-1	15-11	cross-reactive	cross-reactive
3701	25	191	0	7	30-3	insufficient data	cross-reactive
3702	4	29	6	7-2	4	exact match	cross-reactive
3703	22	503	0	20	23-1	insufficient data	insufficient data
3704	22	503	0	20	23-28	insufficient data	insufficient data
3705	4	10	0	18-25	25-15	cross-reactive	cross-reactive
3706	18	73	0	21-2	28	insufficient data	insufficient data
3707	21	357	0	20	23-18	insufficient data	cross-reactive
3708	16	73	0	20	23	insufficient data	cross-reactive
3709	420	697	0	20-3	23	insufficient data	insufficient data
3710	16	669	0	12-11	16-8	insufficient data	cross-reactive
3711	16	1419	0	0	0	insufficient data	cross-reactive
3712	16	1212	0	20-3	23	insufficient data	cross-reactive
3713	574	1230	0	20	23-3	insufficient data	insufficient data
3714	547	1420	0	20	23	insufficient data	insufficient data
3715	276	503	0	7-2	14	insufficient data	cross-reactive
3716	404	697	0	5-3	10-2	insufficient data	insufficient data
3717	24	24	0	7-1	1	insufficient data	insufficient data
3718	16	601	0	22	14-56	insufficient data	cross-reactive
3719	404	697	0	5-3	10-25	insufficient data	insufficient data
3720	404	697	0	5-3	10-111	insufficient data	insufficient data
3721	16	1022	0	22	30-38	insufficient data	cross-reactive
3722	1225	697	0	5-3	10-2	insufficient data	insufficient data
3723	404	697	0	5-3	10-112	insufficient data	insufficient data
3724	170	18	0	22	14	insufficient data	insufficient data
3725	419	1059	0	18-25	16-8	insufficient data	insufficient data
3726	31	3	1	18-1	3	insufficient data	insufficient data
3727	578	688	0	7-2	13-4	insufficient data	insufficient data
3728	16	234	0	20	23	insufficient data	cross-reactive
3729	404	697	0	12-14	13-20	insufficient data	insufficient data
3730	5	503	0	21-2	9	insufficient data	insufficient data
3731	419	503	0	7-2	14	insufficient data	insufficient data
3732	22	601	0	19-3	15	insufficient data	insufficient data
3733	138	21	0	22-1	14	insufficient data	insufficient data
3734	1228	688	0	20	23-7	insufficient data	insufficient data
3735	16	1242	0	19	15	insufficient data	cross-reactive
3736	22	669	0	20	23-7	insufficient data	insufficient data
3737	31	503	0	7-2	14	insufficient data	insufficient data
3738	650	503	0	20	23-1	insufficient data	insufficient data
3739	94	503	0	20	23-9	insufficient data	insufficient data
3740	1223	503	0	20	23-3	insufficient data	insufficient data
3741	16	669	0	21-7	16	insufficient data	cross-reactive
3742	24	17	0	22	14	none	insufficient data
3743	536	21	0	22-1	14-59	insufficient data	insufficient data
3744	584	1335	0	7	14	insufficient data	insufficient data
3745	15	9	0	22	9	cross-reactive	cross-reactive
3746	1167	20	0	22	14	insufficient data	insufficient data
3747	249	20	0	22	14	insufficient data	insufficient data
3748	119	1336	0	21	16-36	insufficient data	insufficient data
3749	1168	9	0	22	9	insufficient data	insufficient data
3750	1169	21	0	19-1	15-11	insufficient data	insufficient data
3751	14	118	0	7-2	4	exact match	cross-reactive
3752	1	376	1	7-2	16	exact match	cross-reactive
3753	13	114	0	21-7	16-21	insufficient data	cross-reactive
3754	24	38	0	19-1	15-11	insufficient data	insufficient data
3755	16	1073	0	12-3	4	exact match	cross-reactive
3756	483	20	0	22	14-51	insufficient data	insufficient data
3757	13	1610	0	5	2	insufficient data	cross-reactive
3758	21	1609	0	12-1	23	insufficient data	cross-reactive
3759	16	601	0	5-1	10-4	insufficient data	cross-reactive
3760	525	2	0	12-6	13-78	exact match	insufficient data
3761	94	10	0	18-23	25-1	cross-reactive	insufficient data
3762	16	1137	0	18-1	3	insufficient data	cross-reactive
3763	235	21	0	22	14	insufficient data	insufficient data
3764	22	1599	121	5	2	insufficient data	insufficient data
3765	18	304	0	18	15	insufficient data	insufficient data
3766	1321	21	0	19-1	15-11	insufficient data	insufficient data
3767	1327	20	0	7-36	14	insufficient data	insufficient data
3768	101	228	0	12-6	13-36	insufficient data	insufficient data
3769	192	1	0	22-1	14	cross-reactive	insufficient data
3770	260	29	0	7-1	1	insufficient data	insufficient data
3771	666	20	2	5-1	10-8	insufficient data	insufficient data
3772	666	20	0	5-1	10-8	insufficient data	insufficient data
3773	19	526	0	19-2	13-15	insufficient data	cross-reactive
3774	16	950	0	22	1	insufficient data	cross-reactive
3775	21	20	0	12-1	23-7	insufficient data	cross-reactive
3776	435	21	0	22	14-6	insufficient data	insufficient data
3777	19	236	0	7-2	13-1	insufficient data	cross-reactive
3778	1207	21	0	22-1	14	insufficient data	insufficient data
3779	19	144	0	5-2	10-1	insufficient data	cross-reactive
3780	13	1384	21	19	15	insufficient data	cross-reactive
3781	13	130	0	7-4	1	insufficient data	cross-reactive
3782	133	1	0	22-1	14-23	cross-reactive	insufficient data
3783	106	21	0	22-1	14	insufficient data	insufficient data
3784	19	1436	0	18-1	3	insufficient data	cross-reactive
3785	4	799	0	7-2	10-1	cross-reactive	cross-reactive
3786	762	10	0	17	16-3	cross-reactive	insufficient data
3787	25	7	0	5-2	10-4	insufficient data	cross-reactive
3788	119	1500	0	19	15	insufficient data	insufficient data
3789	30	3	0	7	16	insufficient data	cross-reactive
3790	16	231	0	22-1	14	insufficient data	cross-reactive
3791	13	141	0	22-1	14	insufficient data	cross-reactive
3792	106	19	0	12-1	16-8	insufficient data	insufficient data
3793	1	3	1	7	16-54	exact match	cross-reactive
3794	101	228	0	12-6	13-30	insufficient data	insufficient data
3795	1306	2	0	18-1	34	exact match	insufficient data
3796	25	1	0	19-1	26	cross-reactive	cross-reactive
3797	107	21	0	22	9	insufficient data	insufficient data
3798	24	1645	0	7	9	insufficient data	insufficient data
3799	436	336	0	22	14	insufficient data	insufficient data
3800	29	21	0	5-1	2-2	insufficient data	insufficient data
3801	245	21	0	22-1	14	insufficient data	insufficient data
3802	1	550	0	19	15	exact match	cross-reactive
3803	160	18	79	22	14	insufficient data	insufficient data
3804	510	29	1	7-4	1	insufficient data	cross-reactive
3805	1292	18	0	22	14	insufficient data	insufficient data
3806	366	18	0	22	14	insufficient data	insufficient data
3807	19	144	0	7-4	1	insufficient data	cross-reactive
3808	22	129	6	5	2	cross-reactive	insufficient data
3809	494	18	0	19	15-1	insufficient data	insufficient data
3810	930	18	0	22	14	insufficient data	insufficient data
3811	14	24	0	5-1	10-46	cross-reactive	cross-reactive
3812	226	20	1	19	15	insufficient data	insufficient data
3813	13	20	0	22	14	insufficient data	cross-reactive
3814	24	479	0	17	16-3	insufficient data	insufficient data
3815	19	1	0	5-1	2-2	cross-reactive	cross-reactive
3816	16	17	0	22	9	none	cross-reactive
3817	14	29	0	22	14	cross-reactive	cross-reactive
3818	1	120	3	19	15	exact match	cross-reactive
3819	1199	18	0	22	14	insufficient data	insufficient data
3820	1197	18	0	22	14	insufficient data	insufficient data
3821	1	707	1	19-1	15	exact match	cross-reactive
3822	187	29	0	22	14	insufficient data	cross-reactive
3823	19	1601	0	18-1	34	insufficient data	cross-reactive
3824	437	20	0	5-1	10-8	insufficient data	insufficient data
3825	45	10	0	22	14	cross-reactive	exact match
3826	90	18	0	22	14	insufficient data	insufficient data
3827	102	58	0	7-56	30-3	insufficient data	insufficient data
3828	62	1602	0	18-1	3	insufficient data	insufficient data
3829	45	20	0	5-1	10-8	insufficient data	exact match
3830	19	1602	0	18-1	3	insufficient data	cross-reactive
3831	66	7	0	5-1	10-4	insufficient data	insufficient data
3832	13	145	0	5-1	10-1	insufficient data	cross-reactive
3833	45	20	0	5-1	1	insufficient data	exact match
3834	19	10	0	17	16-3	cross-reactive	cross-reactive
3835	1111	7	0	5-1	10-1	insufficient data	insufficient data
3836	4	2	0	7-2	4-10	exact match	cross-reactive
3837	224	1604	100	7	16-26	insufficient data	insufficient data
3838	45	24	0	19	15	insufficient data	exact match
3839	25	1605	0	7-2	13-1	insufficient data	cross-reactive
3840	245	10	0	17	16-3	cross-reactive	insufficient data
3841	45	20	0	5-1	10-1	insufficient data	exact match
3842	628	2	0	19-1	26	exact match	insufficient data
3843	499	9	0	5-1	10-4	insufficient data	insufficient data
3844	16	21	0	7	16	insufficient data	cross-reactive
3845	276	10	0	17	16-3	cross-reactive	cross-reactive
3846	1171	2	0	18-1	34	exact match	insufficient data
3847	13	989	0	18-1	30-3	insufficient data	cross-reactive
3848	45	18	0	18	25-1	none	exact match
3849	19	47	0	19-3	15-21	none	cross-reactive
3850	25	13	0	7-2	13-1	insufficient data	cross-reactive
3851	45	2	0	7-2	4	exact match	exact match
3852	224	1608	100	7	10-1	insufficient data	insufficient data
3853	47	118	0	5-1	2-2	insufficient data	cross-reactive
3854	45	18	0	22	14-31	none	exact match
3855	689	475	0	18-10	43	insufficient data	insufficient data
3856	567	722	0	18-10	43	insufficient data	insufficient data
3857	23	1652	0	7	15	insufficient data	cross-reactive
3858	394	3	1	7-2	16	insufficient data	insufficient data
3859	341	21	0	7-2	13-1	insufficient data	insufficient data
3860	233	869	0	22	14-13	insufficient data	insufficient data
3861	31	24	0	12-1	9-5	insufficient data	insufficient data
3862	47	1647	0	19-2	13	insufficient data	cross-reactive
3863	14	24	0	12-1	13-6	cross-reactive	cross-reactive
3864	37	1648	0	17	16-3	cross-reactive	insufficient data
3865	510	29	1	18-1	30-51	insufficient data	cross-reactive
3866	14	32	0	7-2	4	exact match	cross-reactive
3867	1207	17	0	5-1	10-4	insufficient data	insufficient data
3868	9	1649	6	5	2	cross-reactive	insufficient data
3869	111	704	0	18-11	42-1	insufficient data	insufficient data
3870	0	10	0	17	16-3	cross-reactive	none
3871	1	231	0	19	15-23	exact match	cross-reactive
3872	94	145	0	18-1	3	insufficient data	insufficient data
3873	1286	18	0	22	14	insufficient data	insufficient data
3874	321	101	0	5-1	2-2	insufficient data	insufficient data
3875	1	463	1	19	15	exact match	cross-reactive
3876	366	20	0	7-2	4	exact match	insufficient data
3877	22	29	3	5-15	2-1	cross-reactive	insufficient data
3878	47	239	0	5-1	2-2	insufficient data	cross-reactive
3879	35	26	0	7-2	4-18	insufficient data	insufficient data
3880	16	465	0	22	9-2	insufficient data	cross-reactive
3881	15	18	172	22	14	cross-reactive	cross-reactive
3882	596	3	1	19	15	insufficient data	insufficient data
3883	10	369	0	22	14	cross-reactive	insufficient data
3884	83	1479	0	5-1	10-4	insufficient data	insufficient data
3885	31	20	0	7-2	4	exact match	insufficient data
3886	19	1656	0	22	9	insufficient data	cross-reactive
3887	130	20	0	5	2	insufficient data	insufficient data
3888	464	2	0	21	16-123	exact match	insufficient data
3889	13	63	0	5-1	10-4	insufficient data	cross-reactive
3890	1338	17	0	22	9	insufficient data	insufficient data
3891	1340	118	0	19-2	13-1	insufficient data	insufficient data
3892	1341	118	0	19-2	13-1	insufficient data	insufficient data
3893	37	6	0	5-1	10-18	cross-reactive	insufficient data
3894	483	20	0	18	25	insufficient data	insufficient data
3895	401	118	0	19-2	13	insufficient data	insufficient data
3896	14	6	21	19	15-1	cross-reactive	cross-reactive
3897	19	116	0	18	25	insufficient data	cross-reactive
3898	13	219	0	7-2	4	exact match	cross-reactive
3899	21	6	8	21	16-2	exact match	cross-reactive
3900	1343	18	0	22	14	insufficient data	insufficient data
3901	1345	20	0	18-1	30	insufficient data	insufficient data
3902	366	118	0	18-1	3	insufficient data	insufficient data
3903	1108	194	215	19-1	15	insufficient data	insufficient data
3904	558	758	0	22	14	insufficient data	insufficient data
3905	215	118	0	22	9	cross-reactive	insufficient data
3906	25	118	0	7-4	1	insufficient data	cross-reactive
3907	322	118	0	19-2	4	exact match	insufficient data
3908	47	118	0	7	30-3	insufficient data	cross-reactive
3909	25	130	0	19	15	insufficient data	cross-reactive
3910	19	17	0	21	4	exact match	cross-reactive
3911	213	17	0	22	9	insufficient data	insufficient data
3912	403	17	0	22	9	insufficient data	insufficient data
3913	550	18	0	22	14	insufficient data	insufficient data
3914	13	24	0	19	15-1	insufficient data	cross-reactive
3915	14	30	0	19	15-1	cross-reactive	cross-reactive
3916	499	306	0	7-2	4	exact match	insufficient data
3917	551	366	0	17	9	insufficient data	insufficient data
3918	31	370	0	0	16-16	insufficient data	insufficient data
3919	13	468	0	21	16	insufficient data	cross-reactive
3920	24	469	0	5	2-28	insufficient data	insufficient data
3921	108	17	21	19	15-1	insufficient data	insufficient data
3922	1	470	21	19	15-1	exact match	cross-reactive
3923	10	369	79	22	14	cross-reactive	insufficient data
3924	485	18	0	22	14	insufficient data	insufficient data
3925	1	120	0	7	15	exact match	cross-reactive
3926	19	17	0	7	30	none	cross-reactive
3927	552	17	0	22	9	insufficient data	insufficient data
3928	555	17	0	22	9	insufficient data	insufficient data
3929	13	21	0	22-1	14	insufficient data	cross-reactive
3930	14	30	0	5	2	cross-reactive	cross-reactive
3931	34	6	0	12-1	13	insufficient data	insufficient data
3932	24	9	0	21	16	none	insufficient data
3933	368	18	0	22	2	insufficient data	insufficient data
3934	401	18	0	22	14	insufficient data	insufficient data
3935	10	20	0	5	10	cross-reactive	insufficient data
3936	638	116	0	5	2	insufficient data	insufficient data
3937	25	24	0	18-7	2-48	insufficient data	cross-reactive
3938	1339	18	0	22	14	insufficient data	insufficient data
3939	24	43	0	22-37	14-6	none	insufficient data
3940	59	130	0	21	16-16	insufficient data	insufficient data
3941	19	1327	0	22	9	insufficient data	cross-reactive
3942	1348	20	1	19	15	insufficient data	insufficient data
3943	1020	20	0	18-1	3	insufficient data	insufficient data
3944	180	18	0	22	14	insufficient data	cross-reactive
3945	494	20	0	7-2	4	exact match	insufficient data
3946	1276	26	0	7-2	4	exact match	insufficient data
3947	1277	118	0	22	9	insufficient data	insufficient data
3948	25	7	0	7-4	1	insufficient data	cross-reactive
3949	16	307	0	7-2	14	insufficient data	cross-reactive
3950	261	26	0	7-2	4	exact match	insufficient data
3951	1344	118	0	19-2	13-1	insufficient data	insufficient data
3952	709	18	0	22	14	insufficient data	insufficient data
3953	14	30	21	7-2	14	cross-reactive	cross-reactive
3954	256	21	0	22-1	14	insufficient data	insufficient data
3955	566	20	0	5-1	10-8	insufficient data	insufficient data
3956	262	20	0	7-12	14	insufficient data	insufficient data
3957	15	21	0	19	15	cross-reactive	cross-reactive
3958	16	1659	0	22	9	insufficient data	cross-reactive
3959	21	58	0	7-2	30	insufficient data	cross-reactive
3960	252	1658	0	18	25-15	insufficient data	cross-reactive
3961	1342	118	0	18-1	3	insufficient data	insufficient data
3962	4	6	0	22	26	cross-reactive	cross-reactive
3963	1	20	0	7-2	4	exact match	cross-reactive
3964	398	18	0	22	14	insufficient data	insufficient data
3965	362	17	0	22	9	insufficient data	insufficient data
3966	16	306	0	7-2	13-1	insufficient data	cross-reactive
3967	16	20	0	7-12	14	insufficient data	cross-reactive
3968	373	13	0	18-1	1	insufficient data	insufficient data
3969	1	88	101	7-2	16	exact match	cross-reactive
3970	19	366	0	17	9	insufficient data	cross-reactive
3971	363	26	0	7-2	4	exact match	insufficient data
3972	18	304	0	12-1	13-9	insufficient data	insufficient data
3973	1	305	112	19	15	exact match	cross-reactive
3974	215	306	0	7-2	13-1	cross-reactive	insufficient data
3975	16	130	0	7-4	1	insufficient data	cross-reactive
3976	1	130	0	7-4	1	exact match	cross-reactive
3977	1	118	0	19-2	13-1	exact match	cross-reactive
3978	19	120	1	7	15	none	cross-reactive
3979	47	17	0	22	9	none	cross-reactive
3980	15	2	0	18-1	34	exact match	cross-reactive
3981	45	53	0	22	14	insufficient data	exact match
3982	174	118	0	22	14	insufficient data	insufficient data
3983	174	20	0	7-2	4	exact match	insufficient data
3984	252	21	0	22-1	14	insufficient data	cross-reactive
3985	45	460	0	22	14	insufficient data	exact match
3986	19	461	0	5-2	10-2	insufficient data	cross-reactive
3987	365	20	0	7-2	4	exact match	insufficient data
3988	399	197	0	5-1	0	insufficient data	insufficient data
3989	1	305	101	7-2	16	exact match	cross-reactive
3990	174	6	0	12-1	13-1	insufficient data	insufficient data
3991	358	120	1	19	15	insufficient data	insufficient data
3992	374	18	0	22	14	insufficient data	insufficient data
3993	359	17	0	22	9	insufficient data	insufficient data
3994	14	118	0	19-2	13	cross-reactive	cross-reactive
3995	236	18	0	22	14	insufficient data	insufficient data
3996	13	20	0	7-2	4-9	insufficient data	cross-reactive
3997	35	6	0	7-1	1	insufficient data	insufficient data
3998	215	20	0	22	14	cross-reactive	insufficient data
3999	400	18	0	22	14	insufficient data	insufficient data
4000	1	462	1	7-2	16	exact match	cross-reactive
4001	19	20	0	22	14	insufficient data	cross-reactive
4002	236	2	0	18	25	exact match	insufficient data
4003	1	385	0	7	9	exact match	cross-reactive
4004	1	24	0	5	2	exact match	cross-reactive
4005	19	463	0	19	15	insufficient data	cross-reactive
4006	37	354	0	22	26-7	cross-reactive	insufficient data
4007	16	306	0	19	15-1	insufficient data	cross-reactive
4008	47	197	0	5-1	10-1	none	cross-reactive
4009	19	120	105	19	15	insufficient data	cross-reactive
4010	260	145	0	7-12	14	insufficient data	insufficient data
4011	1	24	0	21	16-36	exact match	cross-reactive
4012	25	17	0	22	9	none	cross-reactive
4013	34	1326	0	12-1	10-4	insufficient data	insufficient data
4014	19	114	0	12-1	13-1	insufficient data	cross-reactive
4015	366	17	0	22	9	insufficient data	insufficient data
4016	1141	17	0	22	9	insufficient data	insufficient data
4017	584	20	0	12-3	13	insufficient data	insufficient data
4018	1142	2	0	7-2	4	exact match	insufficient data
4019	357	29	0	22	14	insufficient data	insufficient data
4020	59	20	0	7-2	4	exact match	insufficient data
4021	16	306	0	22	14-6	insufficient data	cross-reactive
4022	510	29	0	5-1	10-1	insufficient data	cross-reactive
4023	19	366	0	12-1	13-1	insufficient data	cross-reactive
4024	1008	18	0	22	14	insufficient data	insufficient data
4025	276	306	0	5-1	2-2	insufficient data	cross-reactive
4026	2	17	0	22	9	insufficient data	insufficient data
4027	1138	118	0	19-2	13-1	insufficient data	insufficient data
4028	47	118	0	21	16	insufficient data	cross-reactive
4029	228	17	0	22	9	insufficient data	insufficient data
4030	47	1328	0	18-1	3	insufficient data	cross-reactive
4031	698	2	0	12-1	13	exact match	insufficient data
4032	283	18	0	22	14	insufficient data	insufficient data
4033	1143	18	0	22	14	insufficient data	insufficient data
4034	14	30	21	19	16	cross-reactive	cross-reactive
4035	340	21	0	22-1	14	insufficient data	insufficient data
4036	208	1329	0	12-1	13-43	insufficient data	insufficient data
4037	1256	17	0	22	9	insufficient data	insufficient data
4038	544	118	0	19-2	13-15	insufficient data	insufficient data
4039	14	30	21	19	15	cross-reactive	cross-reactive
4040	1255	9	0	5-1	10-4	insufficient data	insufficient data
4041	260	20	0	7-13	14	insufficient data	insufficient data
4042	22	29	21	5	2	insufficient data	insufficient data
4043	16	161	0	7-2	14-34	insufficient data	cross-reactive
4044	218	3	103	19	15	insufficient data	insufficient data
4045	19	3	1	19	15	insufficient data	cross-reactive
4046	1	120	106	19	15	exact match	cross-reactive
4047	19	118	0	18-1	3	insufficient data	cross-reactive
4048	104	309	1	19	15	insufficient data	insufficient data
4049	401	120	1	19	15	insufficient data	insufficient data
4050	1	549	0	19-2	13-1	exact match	cross-reactive
4051	213	18	0	22	14	insufficient data	insufficient data
4052	13	367	0	18-1	34	insufficient data	cross-reactive
4053	1	464	1	19	15	exact match	cross-reactive
4054	47	310	0	19-2	13-2	insufficient data	cross-reactive
4055	25	355	0	7-4	1	insufficient data	cross-reactive
4056	532	30	21	19	15-1	insufficient data	insufficient data
4057	548	20	7	5	2	insufficient data	insufficient data
4058	54	20	0	7-2	4	exact match	insufficient data
4059	47	368	0	19-2	13-2	insufficient data	cross-reactive
4060	1	120	1	7	15	exact match	cross-reactive
4061	544	118	0	19-2	13-1	insufficient data	insufficient data
4062	480	17	0	22	9	insufficient data	insufficient data
4063	456	18	0	22	14	insufficient data	insufficient data
4064	536	20	0	7-2	4	exact match	insufficient data
4065	359	20	0	7-2	4	exact match	insufficient data
4066	545	120	3	19	15	cross-reactive	insufficient data
4067	144	20	1	5	2-7	cross-reactive	insufficient data
4068	360	17	0	22	14	insufficient data	insufficient data
4069	69	18	0	22	14	insufficient data	insufficient data
4070	1	24	0	22	9	exact match	cross-reactive
4071	19	24	0	22	9	insufficient data	cross-reactive
4072	402	18	0	22	14	insufficient data	insufficient data
4073	45	24	0	22	9	insufficient data	exact match
4074	549	18	0	22	14	insufficient data	insufficient data
4075	213	465	0	19	15	insufficient data	insufficient data
4076	24	2	0	18	25-7	exact match	insufficient data
4077	13	17	0	7-4	1	insufficient data	cross-reactive
4078	14	47	0	18-1	3	cross-reactive	cross-reactive
4079	213	20	0	7-2	4	exact match	insufficient data
4080	361	17	0	22	9	insufficient data	insufficient data
4081	47	118	0	19-1	13-1	insufficient data	cross-reactive
4082	45	18	0	22-29	14	none	exact match
4083	494	237	110	7	16	insufficient data	insufficient data
4084	19	17	0	22	10	none	cross-reactive
4085	16	1330	0	5-1	2-2	insufficient data	cross-reactive
4086	25	6	0	22	9	none	cross-reactive
4087	47	1331	0	18-1	3	insufficient data	cross-reactive
4088	119	24	0	22	14	insufficient data	insufficient data
4089	160	30	21	19	15-1	insufficient data	insufficient data
4090	79	18	0	22	14	insufficient data	insufficient data
4091	4	18	0	19	15-1	cross-reactive	cross-reactive
4092	19	43	0	12-6	13-13	none	cross-reactive
4093	283	2	0	18-1	34	exact match	insufficient data
4094	357	18	0	22	14-28	insufficient data	insufficient data
4095	651	17	0	22	9	insufficient data	insufficient data
4096	1145	3	1	7	16-38	insufficient data	insufficient data
4097	409	837	0	22	14	insufficient data	insufficient data
4098	245	18	0	22	14-20	insufficient data	insufficient data
4099	14	239	0	7-2	4	exact match	cross-reactive
4100	1139	469	0	5-1	2-2	insufficient data	insufficient data
4101	21	20	0	7-2	13-1	insufficient data	cross-reactive
4102	37	9	0	5-1	10-4	cross-reactive	insufficient data
4103	13	81	0	7-36	14	insufficient data	cross-reactive
4104	45	791	0	22	14	insufficient data	exact match
4105	13	34	0	7-1	1	insufficient data	cross-reactive
4106	207	17	0	5-1	10-8	insufficient data	insufficient data
4107	318	20	0	7-2	4	exact match	insufficient data
4108	1140	18	0	22	14	insufficient data	insufficient data
4109	108	20	0	7-2	4	exact match	insufficient data
4110	22	1255	142	5	2	insufficient data	insufficient data
4111	145	3	1	19	15	insufficient data	insufficient data
4112	37	6	0	12-3	4	exact match	insufficient data
4113	203	114	0	21-7	16	insufficient data	insufficient data
4114	1	1180	186	19	15	exact match	cross-reactive
4115	45	18	0	22	14-2	none	exact match
4116	511	130	0	7-4	1	insufficient data	insufficient data
4117	19	17	0	22	10-2	none	cross-reactive
4118	1275	18	0	22	14	insufficient data	insufficient data
4119	19	116	0	22	9	insufficient data	cross-reactive
4120	61	20	0	7-2	4	exact match	insufficient data
4121	47	1575	0	19-2	13-1	insufficient data	cross-reactive
4122	25	1556	0	7-4	1	insufficient data	cross-reactive
4123	19	17	0	5-2	2-2	none	cross-reactive
4124	21	6	6	21	16	cross-reactive	cross-reactive
4125	31	6	0	22	26	none	insufficient data
4126	1285	26	0	21	16-31	insufficient data	insufficient data
4127	21	1576	0	22	14	insufficient data	cross-reactive
4128	25	21	0	19	15	insufficient data	cross-reactive
4129	47	20	0	21	4	exact match	cross-reactive
4130	102	58	0	18-1	3	insufficient data	insufficient data
4131	510	29	1	18-13	30	insufficient data	cross-reactive
4132	1296	20	0	7-12	14	insufficient data	insufficient data
4133	25	130	0	7	9	insufficient data	cross-reactive
4134	1325	21	0	7-2	9	insufficient data	insufficient data
4135	144	116	1	5	2	cross-reactive	insufficient data
4136	94	17	0	19	15	insufficient data	insufficient data
4137	22	120	1	19	15	none	insufficient data
4138	1286	118	0	22	14	insufficient data	insufficient data
4139	14	789	0	19	15-1	cross-reactive	cross-reactive
4140	22	130	0	7	30-3	insufficient data	insufficient data
4141	697	118	0	19-2	13-1	insufficient data	insufficient data
4142	19	2	0	18-28	34	exact match	cross-reactive
4143	1	3	211	19	15	exact match	cross-reactive
